,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
14,Little Rock,26,11,15,.423,-6.31,-5.35,,7,11,,7,4,,2,8,,1786,1782,,1050,638,1401,.455,147,472,.311,363,517,.702,261,898,354,165,86,392,415
15,Arkansas-Pine Bluff,25,4,21,.160,-22.90,-8.02,,3,12,,2,3,,2,17,,1549,1921,,1010,524,1356,.386,123,400,.308,378,523,.723,240,807,240,160,95,394,455
16,Arkansas State,24,11,13,.458,-7.96,-5.86,,7,8,,9,3,,1,9,,1741,1667,,965,621,1390,.447,154,402,.383,345,478,.722,265,892,347,158,68,313,385
17,Arkansas NCAA,28,22,6,.786,18.06,6.34,,13,4,,16,1,,5,4,,2307,1979,,1125,825,1814,.455,220,649,.339,437,593,.737,334,1119,419,226,145,368,474
18,Army,21,12,9,.571,4.67,4.77,,7,7,,5,5,,5,3,,1511,1452,,845,563,1225,.460,166,502,.331,219,345,.635,169,728,304,133,30,263,325
19,Auburn,27,13,14,.481,10.27,9.53,,7,11,,8,5,,3,8,,2084,2064,,1090,711,1628,.437,245,751,.326,417,589,.708,348,1063,400,168,163,438,482
20,Austin Peay,27,14,13,.519,-6.29,-7.85,,10,10,,8,5,,4,6,,2007,1890,,1090,733,1617,.453,194,573,.339,347,462,.751,341,931,357,183,54,397,472
21,Ball State,23,10,13,.435,-1.11,-0.37,,8,9,,7,4,,3,8,,1719,1736,,930,613,1384,.443,195,570,.342,298,397,.751,229,848,318,126,54,330,441
22,Baylor NCAA,24,22,2,.917,23.32,5.36,,13,1,,11,0,,7,1,,2025,1594,,965,746,1513,.493,248,593,.418,285,409,.697,309,875,409,215,90,298,412
23,Bellarmine,20,13,7,.650,-1.96,-6.24,,10,3,,6,4,,7,2,,1486,1307,,800,562,1091,.515,128,341,.375,234,314,.745,159,608,316,143,42,222,307
